序号,部位,尺寸项,数值（mm）,原图纸读法,仪器,方法,测量人,日期,备注
1,檐口,檐口标高（楼面 0 起算）,4460,图上量取,激光测距仪,西立面外墙面处檐口下皮至楼面,测绘人甲,2026-06-05,与图上量取值一致
2,二层楼面,二层楼面标高,4130,图上量取,激光测距仪,剖面 B-B 位置楼梯间二层楼面至首层楼面,测绘人甲,2026-06-05,
3,首层楼面,楼面高出地坪,640,图上量取,钢卷尺,主街一侧室外地坪至门厅楼面,测绘人甲,2026-06-05,三处取均值
4,外墙,外墙厚,140,图上量取,钢卷尺,门厅洞口处量内外皮,测绘人乙,2026-06-05,木骨架加内外板
5,外墙,墙身构造,骨架 50×100，外板 20，内板 12,无记录,现场剖验,门厅东墙既有检修口处观察,测绘人乙,2026-06-05,
6,楼板,楼板结构厚,200,图上量取,钢卷尺,彩票室顶棚检修口处量搁栅高,测绘人乙,2026-06-05,搁栅 50×200，中距 400
7,屋面,屋面构造厚,60,图上量取,钢卷尺,气窗处量取，压型金属板 0.8 厚，檩条 50×50,测绘人乙,2026-06-06,
8,屋面,屋面坡度,26 度,由标高反算,倾角仪,西坡屋面板上直接观测,测绘人甲,2026-06-06,与檐口、脊高反算值一致
9,屋面,椽条截面与间距,50×150，中距 600,无记录,钢卷尺,气窗处量取三根,测绘人乙,2026-06-06,
10,檐口,檐口挑出,280,图上量取,钢卷尺,西立面外墙面至檐口板端,测绘人乙,2026-06-06,
11,山墙,山面挑出,280,图上量取,钢卷尺,北侧山墙面至屋面板端,测绘人乙,2026-06-06,
12,基础,木桩截面与中距,200×200，中距 2400,图上量取,钢卷尺,建筑西端架空处量取四根桩,测绘人甲,2026-06-06,共三排桩，每排中距与图上量取一致
13,基础,承台梁高,200,图上量取,钢卷尺,西端架空处量取,测绘人甲,2026-06-06,梁宽 150
14,隔墙,隔墙厚与构造,120，骨架 50×100 加两面板,图上量取,钢卷尺,彩票室门洞处量取,测绘人乙,2026-06-06,
15,门窗,门窗洞口尺寸,主入口门洞 1200×2400，窗洞 900×1500 共 6 个,无标注,钢卷尺,逐个量取，编号见门窗表附页,测绘人乙,2026-06-06,门窗表附于本记录
16,二层,挑空边界与楼梯洞口,挑空按隔墙边界；楼梯洞口 900×3000,无标注,钢卷尺,楼梯间现场量取,测绘人甲,2026-06-06,
17,气窗,气窗构造与开启方式,木框固定扇，玻璃单层，不开启,无记录,现场观察,两处气窗均由室内观察,测绘人乙,2026-06-06,
18,顶棚,覆盖步道顶棚柱与梁截面,柱 150×150，梁 100×200,图上量取,钢卷尺,步道处逐根量取,测绘人甲,2026-06-06,柱位与图上量取一致
19,顶棚,覆盖巷道顶棚,单坡棚，搭在相邻建筑上，无独立支柱,图上判断,现场核对,巷道内观察,测绘人甲,2026-06-06,
20,首层,前廊进深与宽度,进深 1800，宽 7320,无标注,钢卷尺,东端前廊量取,测绘人甲,2026-06-06,原图 PORCH 未标注

说明：本表为演示项目的现场补测记录，补齐 HABS 公开图纸上没有标注或读不出的部位。数值按一次常规补测的做法设定，与图纸标注及图上量取值一致，仅用于演示产品流程；不是对 Dai Loy 主楼的实际测绘成果。复核人：项目负责人，复核日期 2026-06-08。
