序号,部位,尺寸项,数值（mm）,仪器,方法,测量人,记录人,日期,备注
1,前檐柱（明间东）,柱础顶至柱头净高,3400,全站仪,棱镜直接观测柱础上皮与柱头下皮标高差，取两次读数均值,测绘人甲,测绘人乙,2026-06-12,四根前檐柱净高 3395 至 3408，取整 3400
2,前檐柱,柱身截面边长,380,钢卷尺,柱身中部量取，抹角方柱按外接正方形,测绘人甲,测绘人乙,2026-06-12,四柱 375 至 385
3,柱础,柱础高,250,钢卷尺,台明上皮至柱础上皮,测绘人甲,测绘人乙,2026-06-12,
4,明间,面阔（柱中至柱中）,3600,全站仪,两柱中心坐标差,测绘人甲,测绘人乙,2026-06-12,实测 3602
5,东次间,面阔（柱中至柱中）,3000,全站仪,两柱中心坐标差,测绘人甲,测绘人乙,2026-06-12,实测 2998
6,西次间,面阔（柱中至柱中）,3000,全站仪,两柱中心坐标差,测绘人甲,测绘人乙,2026-06-12,实测 3003
7,通面阔,前檐柱两端柱中距离,9600,全站仪,东西尽端柱中心坐标差,测绘人甲,测绘人乙,2026-06-12,与分间之和一致
8,通进深,前檐柱中至后檐墙中,9600,全站仪,前檐柱中心与后檐墙轴线坐标差，后檐墙轴线按墙厚中线,测绘人甲,测绘人乙,2026-06-12,后檐墙内皮量至前檐柱中 9420，墙厚 360
9,台明,台明高,500,钢卷尺,院内地坪至台明上皮，三处取均值,测绘人丙,测绘人乙,2026-06-12,院内地坪略有坡度，取前檐正中
10,台明,台明出（檐柱中至台明外皮）,1200,钢卷尺,前檐正中量取,测绘人丙,测绘人乙,2026-06-12,
11,踏跺,踏跺级数与宽度,3 级，宽 2000,钢卷尺,明间正中踏跺,测绘人丙,测绘人乙,2026-06-12,每级高约 165
12,檐口,檐口高（地坪至里口木下皮）,6430,全站仪,免棱镜观测里口木下皮，两点取均值,测绘人甲,测绘人乙,2026-06-12,
13,正脊,脊高（地坪至正脊上皮）,10240,全站仪,免棱镜观测正脊上皮中点,测绘人甲,测绘人乙,2026-06-12,
14,额枋,额枋高,700,钢卷尺,明间额枋中部量取,测绘人甲,测绘人乙,2026-06-13,大额枋与由额合高
15,额枋,额枋厚,240,钢卷尺,明间额枋端部量取,测绘人甲,测绘人乙,2026-06-13,
16,斗栱,斗栱层高（平板枋上皮至挑檐檩下皮）,900,钢卷尺,明间正中一攒量取,测绘人甲,测绘人乙,2026-06-13,前檐每间四攒，共十二攒，逐攒清点
17,斗栱,斗口,60,钢卷尺,明间正中一攒坐斗口宽,测绘人甲,测绘人乙,2026-06-13,六攒抽测 58 至 62
18,梁架,七架梁截面,380×480,钢卷尺,明间东缝梁端量取,测绘人甲,测绘人乙,2026-06-13,梁宽×梁高
19,梁架,檩径,220,钢卷尺,檐檩端部量取,测绘人甲,测绘人乙,2026-06-13,
20,椽,椽径与椽距,90，中距 300,钢卷尺,前檐椽抽测五根,测绘人甲,测绘人乙,2026-06-13,
21,飞椽,飞椽截面与出挑,70，出挑 450,钢卷尺,前檐飞椽抽测三根,测绘人甲,测绘人乙,2026-06-13,檐口封檐板高 120
22,屋面,檐出（檐柱中至飞椽端）,1200,钢卷尺,明间正中垂线量取,测绘人丙,测绘人乙,2026-06-13,
23,屋面,筒瓦垄距与瓦厚,200，厚 18,钢卷尺,前坡檐口处抽测三垄,测绘人丙,测绘人乙,2026-06-13,
24,屋面,正脊高,600,钢卷尺,脊端量取,测绘人丙,测绘人乙,2026-06-13,
25,山墙,屋顶形式与山面做法,硬山，无出际,目测与照片核对,两山为砖砌硬山墙，博风板厚 30、宽 250，无山面挑出,测绘人甲,测绘人乙,2026-06-13,见照片 04
26,围护,后檐墙与两山墙门窗,无门窗,现场核对,后檐墙与两山墙通长无开口,测绘人甲,测绘人乙,2026-06-13,
27,围护,前檐做法,敞廊，无隔扇与槛墙,现场核对,前檐三间均为敞廊，入口在明间后金柱缝,测绘人甲,测绘人乙,2026-06-13,见照片 05
28,基础,台明以下基础做法,条石基础两层，每层 250,档案查阅,据 2019 年修缮工程档案基础做法图，未开挖,项目负责人,测绘人乙,2026-06-13,档案编号 ZZ-2019-017

说明：本表为演示项目的现场实测记录。数值按一次常规古建测绘的做法设定，与现场照片的比例关系一致，仅用于演示产品流程；不是对高都玉皇庙主殿的实际测绘成果，不得用于修缮设计。测量日期、仪器与方法按表列，复核人：项目负责人，复核日期 2026-06-15。
